Customer_ID,Loan_ID,Age,Income_INR,Employment_Years,Marital_Status,Education_Level,Credit_History_Length,Savings_Account_Balance,Loan_Type,Loan_Amount,Loan_Tenure_Months,Interest_Rate_Pct,EMI_Amount,Pay_History,Delinquency_12M,Credit_Card_Utilization,Behavior_Spending_Score,Behavior_Repayment_Score,No_of_Open_Accounts,Total_Credit_Limit,Total_Current_Balance,Credit_Utilization_Ratio,No_of_Inquiries_6M,DPD_30,DPD_60,DPD_90,Worst_Current_Status,Oldest_Trade_Open_Months,Outstanding_Loans,Avg_Balance_6M,Bounce_Count_6M,Transaction_Count_3M,Max_DPD_12M,Missed_Payment_Count,Collateral_Value,LTV_Ratio,Default,Default_Date,Disbursal_Date,Vintage_Q,MOB_at_default,MOB_on_book,Target,sample
113,LOAN00113,47,1670301,1,Married,Postgraduate,13,575302,Home Loan,1994983,24,12.75,94611,Average,4,0.16,13,73,9,1219218,2189144,0.59,3,2,1,0,1,166,6,640671,1,58,30,4,2263140.0,0.8815,0,,2020-03-01,2020Q1,,45,0,train
307,LOAN00307,60,1076194,14,Single,Postgraduate,3,797645,Auto Loan,604753,36,15.82,21207,Poor,4,0.25,74,7,6,1076924,1175485,0.53,2,1,1,1,1,174,7,848468,1,69,90,4,908435.0,0.6657,0,,2020-06-19,2020Q2,,42,0,train
371,LOAN00371,21,1582871,11,Married,Graduate,8,465049,Personal Loan,663597,72,20.32,16018,Good,4,0.4,61,62,2,2573214,861915,0.93,1,0,0,0,1,229,4,538942,3,53,90,3,,,0,,2019-10-28,2019Q4,,50,0,train
10,LOAN00010,44,2348745,18,Divorced,Postgraduate,13,246046,Education Loan,1935893,36,7.0,59774,Good,1,0.71,69,98,9,2596941,1174673,0.81,1,0,0,0,1,181,2,338899,2,147,60,1,,,1,2020-12-24,2020-05-29,2020Q2,7.0,43,1,train
194,LOAN00194,33,771081,0,Married,PhD,6,911348,Business Loan,1503710,48,9.33,37655,Poor,0,0.48,92,72,7,961394,2287642,0.41,0,2,1,0,0,228,3,986466,3,21,60,0,1741219.0,0.8636,0,,2019-01-09,2019Q1,,59,0,train
158,LOAN00158,39,1517741,5,Married,Graduate,18,964205,Personal Loan,1894578,12,8.51,165253,Good,0,0.25,10,68,7,1244606,1106178,0.97,2,1,1,1,0,169,7,995670,7,162,90,0,,,1,2021-04-21,2020-05-26,2020Q2,11.0,43,1,train
370,LOAN00370,43,1495819,12,Divorced,PhD,16,605031,Personal Loan,413346,72,15.72,8902,Poor,0,0.45,63,19,3,2571358,170967,0.66,4,0,0,0,1,30,7,639433,4,163,15,0,,,1,2021-12-19,2019-08-16,2019Q3,28.0,52,1,train
16,LOAN00016,44,515452,28,Married,Postgraduate,14,710535,Home Loan,1048051,72,9.27,19032,Good,0,0.21,24,71,11,2638696,200579,0.28,3,2,1,0,0,19,0,684179,2,169,90,0,1538654.0,0.6811,0,,2019-07-03,2019Q3,,53,0,train
403,LOAN00403,32,2096944,13,Married,Postgraduate,8,416691,Home Loan,1461010,36,8.77,46303,Good,0,0.81,20,46,5,399224,1399972,0.51,0,1,1,0,3,142,3,515447,3,15,30,0,2152196.0,0.6788,1,2023-03-31,2020-08-17,2020Q3,31.0,40,1,train
112,LOAN00112,52,380885,16,Divorced,Graduate,9,432537,Home Loan,177137,48,13.05,4756,Good,1,0.92,34,54,11,304048,463935,0.08,4,1,0,0,1,62,3,514006,1,157,90,1,199562.0,0.8876,0,,2019-10-26,2019Q4,,50,0,train
118,LOAN00118,39,1788762,6,Married,High School,17,553205,Home Loan,1413649,36,7.0,43649,Average,2,0.34,71,51,8,1428296,1666861,0.2,4,0,0,0,3,107,2,504456,3,132,90,1,2377971.0,0.5945,0,,2020-06-11,2020Q2,,42,0,train
175,LOAN00175,35,1626274,28,Married,Graduate,12,529133,Education Loan,1200460,12,10.69,105925,Good,5,0.36,100,59,1,1225982,420780,0.4,3,1,1,1,0,54,3,625717,3,116,60,4,,,1,2022-10-11,2021-06-01,2021Q2,16.0,30,1,train
357,LOAN00357,53,2138504,3,Divorced,PhD,18,600658,Personal Loan,1297449,36,17.72,46723,Good,3,0.97,91,44,2,96308,294370,0.37,4,2,1,0,0,67,3,650433,0,148,30,2,,,0,,2020-04-19,2020Q2,,44,0,train
416,LOAN00416,31,769893,27,Single,Postgraduate,7,568205,Auto Loan,1143210,24,13.49,54613,Poor,0,0.28,93,8,7,2567980,253714,0.95,0,1,1,0,0,83,7,612636,2,27,90,0,1266517.0,0.9026,1,2021-10-14,2020-10-31,2020Q4,12.0,38,1,train
308,LOAN00308,50,1062383,4,Single,High School,7,597724,Personal Loan,1145049,48,16.01,32456,Average,4,0.47,15,78,1,2668556,2492373,0.98,3,0,0,0,0,211,4,548412,0,10,90,4,,,0,,2019-12-06,2019Q4,,48,0,train
11,LOAN00011,56,391629,20,Divorced,Graduate,13,570328,Personal Loan,661053,60,7.0,13089,Average,0,0.0,98,57,11,2591963,1692520,0.26,4,2,2,1,2,115,7,662966,2,90,90,0,,,1,2022-02-27,2021-02-23,2021Q1,12.0,34,1,train
216,LOAN00216,25,1689629,20,Single,High School,8,346940,Auto Loan,75498,12,8.1,6570,Poor,0,0.62,59,36,4,2449723,1962888,0.29,1,2,2,2,0,212,5,443615,3,141,90,0,134245.0,0.5624,1,2022-10-07,2021-12-25,2021Q4,10.0,24,1,train
177,LOAN00177,26,209540,27,Divorced,Graduate,1,71341,Education Loan,1284698,24,12.73,60914,Good,1,0.02,2,87,7,104905,2389926,0.9,4,1,0,0,2,126,2,27026,2,179,15,0,,,1,2022-02-15,2021-04-18,2021Q2,10.0,32,1,train
121,LOAN00121,23,1876706,4,Divorced,PhD,11,276323,Education Loan,249431,24,12.92,11849,Good,0,0.58,86,78,7,2920780,1290052,0.68,0,2,1,1,0,224,9,296990,0,69,60,0,,,0,,2020-01-16,2020Q1,,47,0,train
294,LOAN00294,43,2254949,27,Divorced,Graduate,10,896402,Business Loan,1265945,24,11.35,59208,Good,1,0.15,39,58,5,1746525,1409172,0.9,1,0,0,0,1,160,5,860028,0,143,90,0,1740663.0,0.7273,0,,2019-05-28,2019Q2,,55,0,train
198,LOAN00198,58,395283,0,Single,PhD,8,820001,Education Loan,1319904,24,11.44,61787,Poor,2,0.28,17,91,10,2495559,351244,0.58,0,0,0,0,0,164,0,840268,3,31,15,1,,,0,,2020-08-27,2020Q3,,40,0,train
277,LOAN00277,52,1277962,21,Married,Graduate,14,905559,Auto Loan,808014,60,11.74,17867,Poor,0,0.08,37,28,6,1144289,825849,0.48,2,0,0,0,1,84,4,925431,1,80,30,0,1177900.0,0.686,0,,2021-02-22,2021Q1,,34,0,train
173,LOAN00173,54,1888085,24,Married,High School,16,234231,Personal Loan,695295,36,10.38,22559,Poor,5,0.96,98,26,10,2581804,310373,0.41,0,0,0,0,2,159,3,267388,7,93,0,5,,,1,2020-10-05,2019-09-18,2019Q3,13.0,51,1,train
362,LOAN00362,63,1848653,15,Married,High School,1,330756,Education Loan,775152,36,7.57,24136,Good,0,0.41,67,99,6,2743759,303625,0.09,1,0,0,0,2,221,3,397974,1,98,90,0,,,0,,2020-11-27,2020Q4,,37,0,train
132,LOAN00132,54,1995324,24,Married,High School,6,291269,Home Loan,688443,60,8.97,14280,Good,0,0.11,57,13,9,1761623,846960,0.26,0,0,0,0,2,163,5,311127,4,156,90,0,823250.0,0.8363,1,2023-09-30,2021-03-28,2021Q1,30.0,33,1,train
417,LOAN00417,41,2425981,4,Single,Postgraduate,9,843762,Business Loan,1122986,36,16.12,39547,Good,0,0.5,22,17,4,2231756,10951,0.58,3,1,1,0,0,122,3,893181,4,153,60,0,1518937.0,0.7393,1,2020-11-03,2019-03-12,2019Q1,20.0,57,1,train
291,LOAN00291,54,476000,6,Married,Postgraduate,1,405371,Auto Loan,1108368,36,12.3,36972,Average,0,0.52,18,82,2,1926646,1574862,0.92,3,0,0,0,0,101,5,409007,2,173,0,0,1748452.0,0.6339,0,,2019-08-24,2019Q3,,52,0,train
386,LOAN00386,46,295383,0,Married,PhD,1,447904,Personal Loan,1752820,60,13.03,39908,Poor,0,0.49,45,58,3,1500589,328014,0.49,3,1,0,0,0,69,1,500705,3,52,15,0,,,1,2021-07-03,2019-12-07,2019Q4,19.0,48,1,train
361,LOAN00361,61,875692,21,Single,Postgraduate,13,343764,Home Loan,694150,72,13.84,14244,Good,1,0.29,33,36,3,1316859,734055,0.01,0,0,0,0,3,211,6,431799,0,166,90,1,780232.0,0.8897,0,,2019-11-26,2019Q4,,49,0,train
167,LOAN00167,37,656268,6,Single,High School,16,200741,Personal Loan,82114,72,8.96,1478,Good,2,0.94,96,12,9,217170,1669047,0.74,4,0,0,0,2,136,8,247166,1,67,60,2,,,0,,2021-10-27,2021Q4,,26,0,train
119,LOAN00119,34,505163,3,Single,High School,5,394779,Business Loan,257515,48,11.07,6664,Average,1,0.61,64,53,3,2970793,1988337,0.42,0,0,0,0,0,11,2,470078,3,155,60,1,451871.0,0.5699,0,,2019-08-29,2019Q3,,52,0,train
134,LOAN00134,51,1719832,0,Single,Graduate,16,941688,Home Loan,1191271,12,8.27,103775,Average,5,0.43,91,21,4,2467368,731960,0.31,1,0,0,0,0,183,4,1016646,2,84,60,4,1638474.0,0.7271,0,,2021-03-28,2021Q1,,33,0,train
84,LOAN00084,58,235952,2,Single,PhD,7,809693,Business Loan,291576,24,11.9,13711,Poor,0,0.7,41,22,4,2530777,757792,0.99,2,0,0,0,0,130,6,789146,0,13,0,0,381756.0,0.7638,0,,2021-12-07,2021Q4,,24,0,train
182,LOAN00182,21,777741,26,Single,Graduate,12,36492,Business Loan,1839204,72,9.03,33180,Average,2,0.07,10,81,6,1638900,839112,0.27,0,1,0,0,2,214,3,37629,1,166,15,1,2693729.0,0.6828,0,,2021-02-15,2021Q1,,34,0,train
395,LOAN00395,23,2498253,5,Married,High School,17,927407,Home Loan,1077904,24,16.7,53138,Poor,0,0.31,89,58,4,2841594,1674724,0.89,4,0,0,0,0,117,1,973998,6,110,15,0,1840555.0,0.5856,1,2020-03-04,2019-02-11,2019Q1,13.0,58,1,train
408,LOAN00408,24,2034256,6,Divorced,Postgraduate,17,326453,Education Loan,1518028,60,13.43,34874,Poor,0,0.03,5,79,11,2809947,963736,0.64,4,2,1,1,2,189,2,347585,5,179,60,0,,,1,2021-08-18,2019-03-24,2019Q1,29.0,57,1,train
143,LOAN00143,41,1691551,28,Married,PhD,3,260972,Education Loan,1696082,60,12.69,38322,Average,0,0.92,85,44,1,1200195,1589060,0.73,0,0,0,0,1,116,8,243589,2,125,15,0,,,0,,2021-03-27,2021Q1,,33,0,train
94,LOAN00094,26,1422193,26,Married,Postgraduate,6,891351,Business Loan,1689118,48,9.84,42710,Good,1,0.07,31,9,9,2887668,1799704,0.3,2,1,0,0,0,225,2,902763,0,141,60,0,1996673.0,0.846,0,,2019-09-16,2019Q3,,51,0,train
7,LOAN00007,25,1698040,25,Married,Graduate,12,532478,Personal Loan,830250,36,14.25,28476,Good,1,0.95,2,46,11,1060389,1450672,0.09,4,0,0,0,1,173,9,592867,1,134,0,0,,,0,,2020-05-23,2020Q2,,43,0,train
402,LOAN00402,41,618634,9,Married,Graduate,6,665378,Personal Loan,1456146,12,11.03,128716,Good,5,0.18,15,27,6,811251,598826,0.64,1,2,1,1,1,30,6,709271,3,103,90,4,,,1,2021-07-06,2020-08-28,2020Q3,11.0,40,1,train
193,LOAN00193,22,269750,23,Married,Graduate,6,898379,Business Loan,726986,36,12.15,24198,Poor,0,0.8,97,23,2,2370509,1022898,0.24,3,0,0,0,1,213,5,959413,3,34,90,0,882793.0,0.8235,0,,2020-12-08,2020Q4,,36,0,train
476,LOAN00476,60,632084,13,Married,PhD,18,673914,Auto Loan,954925,36,8.3,30056,Poor,0,0.01,84,98,5,2933951,342096,0.14,4,0,0,0,2,190,7,726415,5,55,15,0,1173182.0,0.814,1,2021-08-03,2019-11-24,2019Q4,21.0,49,1,train
214,LOAN00214,54,2183439,29,Single,PhD,3,695790,Personal Loan,1596384,36,8.65,50504,Good,4,0.88,96,55,4,484032,1199187,0.9,2,0,0,0,0,210,3,653226,1,77,30,3,,,0,,2019-08-19,2019Q3,,52,0,train
285,LOAN00285,64,687392,24,Single,Graduate,16,71437,Personal Loan,1492679,24,14.14,71766,Average,4,0.89,13,83,8,2117926,1885951,0.09,2,1,0,0,0,51,7,28654,7,132,90,4,,,1,2021-12-17,2019-06-03,2019Q2,30.0,54,1,train
397,LOAN00397,48,1157867,26,Married,PhD,3,209269,Home Loan,1830137,48,11.69,47916,Poor,0,0.94,96,33,3,2239312,1325139,0.23,2,0,0,0,0,50,6,264837,0,76,90,0,2685691.0,0.6814,0,,2019-11-22,2019Q4,,49,0,train
445,LOAN00445,41,255213,24,Single,Postgraduate,11,657320,Education Loan,1555889,60,9.05,32335,Average,0,0.52,71,58,3,1584369,2499538,0.47,4,0,0,0,0,72,5,733404,1,152,30,0,,,0,,2022-03-04,2022Q1,,21,0,train
409,LOAN00409,52,251141,24,Married,Postgraduate,13,121354,Personal Loan,299229,12,10.68,26401,Good,4,0.31,41,3,10,1971485,2309710,0.71,3,2,1,1,0,98,5,170127,6,137,90,3,,,1,2022-08-20,2020-12-25,2020Q4,20.0,36,1,train
209,LOAN00209,49,379799,10,Married,High School,1,365706,Personal Loan,765944,24,7.0,34293,Good,2,0.95,28,62,3,2130908,532209,0.62,0,0,0,0,1,219,4,413449,2,114,90,2,,,1,2021-11-24,2021-04-16,2021Q2,7.0,32,1,train
288,LOAN00288,63,1307535,27,Married,Graduate,12,577009,Business Loan,205301,60,13.06,4677,Poor,1,0.6,40,79,8,2317155,895133,0.71,4,0,0,0,0,134,4,595892,1,133,0,0,328481.0,0.625,0,,2021-07-30,2021Q3,,29,0,train
99,LOAN00099,53,318505,23,Married,Graduate,15,842885,Education Loan,304780,12,7.0,26371,Average,1,0.25,48,95,11,1696065,1200141,0.42,1,0,0,0,0,158,4,891736,1,31,15,1,,,0,,2019-09-26,2019Q3,,51,0,train
481,LOAN00481,31,2267878,20,Married,Postgraduate,14,604801,Home Loan,1017432,24,14.29,48989,Good,0,0.89,63,98,1,2102259,1281688,0.21,2,1,1,1,2,140,4,683620,2,172,60,0,1377294.0,0.7387,0,,2019-07-25,2019Q3,,53,0,train
151,LOAN00151,22,1432669,24,Married,Graduate,12,111400,Auto Loan,1453354,48,14.69,40219,Good,0,0.76,86,90,11,620159,1627265,0.24,1,0,0,0,0,131,0,105423,1,13,15,0,2127553.0,0.6831,0,,2019-08-05,2019Q3,,52,0,train
369,LOAN00369,52,1808215,18,Single,PhD,1,828522,Auto Loan,1116697,60,12.59,25174,Good,0,0.62,93,69,5,2325841,558185,0.77,1,0,0,0,1,210,2,818028,3,83,15,0,1248795.0,0.8942,1,2020-05-07,2020-01-03,2020Q1,4.0,47,1,train
329,LOAN00329,22,622570,6,Married,High School,14,909990,Business Loan,405315,60,14.62,9561,Average,0,0.84,6,34,3,2444720,2104053,0.8,3,0,0,0,0,86,5,927003,3,86,0,0,667627.0,0.6071,0,,2019-12-18,2019Q4,,48,0,train
496,LOAN00496,32,1110953,1,Married,Graduate,8,905308,Personal Loan,1576070,60,14.74,37279,Average,1,0.01,97,67,2,2115805,545756,0.95,0,0,0,0,0,142,6,897153,3,151,60,0,,,0,,2021-10-30,2021Q4,,26,0,train
43,LOAN00043,32,325855,25,Married,Graduate,5,161535,Auto Loan,283080,60,12.15,6318,Good,0,0.94,80,52,8,2270696,1771206,0.19,3,0,0,0,0,199,2,195104,2,152,0,0,468764.0,0.6039,0,,2022-02-16,2022Q1,,22,0,train
103,LOAN00103,35,1151305,18,Single,Graduate,14,690580,Home Loan,195605,48,11.34,5087,Average,2,0.12,26,17,10,2413486,1211266,0.66,2,0,0,0,0,100,9,648331,1,126,15,2,230869.0,0.8473,0,,2021-04-16,2021Q2,,32,0,train
206,LOAN00206,26,1209351,6,Married,Graduate,2,218788,Personal Loan,1970438,60,7.0,39017,Good,0,0.78,12,97,3,2427604,470813,0.22,2,0,0,0,0,89,3,173767,6,44,60,0,,,1,2023-05-12,2021-05-03,2021Q2,24.0,31,1,train
346,LOAN00346,57,1733915,4,Single,Postgraduate,9,791672,Auto Loan,148375,12,7.04,12841,Average,1,0.71,63,79,7,1261957,1516918,0.57,4,0,0,0,1,168,9,804061,6,71,90,0,175165.0,0.8471,1,2022-05-01,2019-09-15,2019Q3,32.0,51,1,train
328,LOAN00328,52,753512,24,Divorced,Postgraduate,19,767445,Education Loan,302162,24,13.64,14456,Good,3,0.8,18,15,1,692914,471528,0.66,0,2,1,0,3,138,7,783974,3,18,90,3,,,0,,2021-09-19,2021Q3,,27,0,train
324,LOAN00324,59,1779365,19,Married,Graduate,4,812662,Home Loan,1004641,48,12.1,26505,Poor,2,0.91,49,80,9,2294101,2448654,0.51,2,0,0,0,0,212,2,821607,6,62,15,2,1566940.0,0.6411,1,2023-05-11,2021-05-05,2021Q2,24.0,31,1,train
342,LOAN00342,36,579076,19,Married,High School,17,742943,Home Loan,1053575,12,14.07,94632,Poor,4,0.25,65,6,3,2669675,2332986,0.53,3,2,1,1,1,229,8,761015,5,125,90,3,1734165.0,0.6075,1,2023-02-05,2021-12-31,2021Q4,14.0,24,1,train
66,LOAN00066,61,1016059,4,Single,Postgraduate,15,839048,Personal Loan,1629725,12,7.0,141014,Good,3,0.59,2,52,4,2293153,1047387,0.2,2,2,2,1,0,232,3,884577,3,96,60,2,,,0,,2019-03-17,2019Q1,,57,0,train
439,LOAN00439,56,1224371,1,Divorced,Graduate,15,131323,Home Loan,1135415,72,8.35,20102,Poor,0,0.24,35,24,4,210296,1735676,0.88,3,0,0,0,2,94,2,143318,3,172,15,0,1660605.0,0.6837,0,,2020-06-16,2020Q2,,42,0,train
107,LOAN00107,48,1531404,10,Single,Postgraduate,7,490523,Auto Loan,905183,36,9.25,28890,Average,0,0.46,80,75,7,890553,1988423,0.2,1,0,0,0,0,208,8,486226,0,22,15,0,1101818.0,0.8215,0,,2019-10-22,2019Q4,,50,0,train
146,LOAN00146,55,1040229,5,Single,High School,12,434957,Personal Loan,709984,36,13.56,24114,Average,3,0.1,100,25,3,1974433,1910864,0.18,3,1,0,0,0,128,6,490097,2,66,90,2,,,0,,2020-09-29,2020Q3,,39,0,train
319,LOAN00319,27,280658,9,Married,PhD,19,971406,Business Loan,1591988,36,11.49,52489,Poor,2,0.69,93,27,3,1975235,920792,0.85,4,2,2,2,2,143,2,946375,5,112,90,1,2559303.0,0.622,1,2021-05-27,2020-08-21,2020Q3,9.0,40,1,train
42,LOAN00042,32,2462191,10,Married,Graduate,1,743699,Home Loan,1945196,12,7.0,168311,Good,0,0.15,49,57,7,693754,497166,0.12,3,0,0,0,2,27,0,781035,2,129,0,0,2227250.0,0.8734,0,,2020-07-05,2020Q3,,41,0,train
39,LOAN00039,53,1509127,26,Single,Postgraduate,8,665449,Education Loan,1517662,36,7.0,46860,Average,2,0.97,92,98,6,175345,1974302,0.84,2,0,0,0,0,68,7,733203,1,78,90,2,,,0,,2020-10-09,2020Q4,,38,0,train
124,LOAN00124,24,2403089,11,Single,High School,15,543706,Personal Loan,730857,24,8.64,33268,Good,2,0.49,12,72,11,407264,954285,0.04,3,0,0,0,3,140,2,500027,2,121,60,1,,,0,,2021-10-23,2021Q4,,26,0,train
253,LOAN00253,44,1140328,6,Married,Postgraduate,10,602640,Personal Loan,1031578,72,16.13,22450,Poor,1,0.52,21,67,6,1388693,1851206,0.46,1,1,0,0,0,210,8,626438,0,99,60,1,,,0,,2020-02-02,2020Q1,,46,0,train
331,LOAN00331,36,2132235,2,Divorced,Graduate,8,966693,Home Loan,1963072,24,13.83,94095,Average,1,0.3,74,69,5,122662,1307557,0.32,1,1,1,0,3,135,5,932091,3,25,90,1,3056240.0,0.6423,0,,2020-07-18,2020Q3,,41,0,train
316,LOAN00316,41,642051,8,Divorced,Postgraduate,18,483409,Business Loan,204083,36,14.83,7057,Average,1,0.54,63,68,3,443574,1786430,0.61,3,0,0,0,0,49,1,571575,4,118,0,0,284184.0,0.7181,1,2022-12-25,2021-11-13,2021Q4,13.0,25,1,train
97,LOAN00097,55,1804139,19,Single,High School,17,890653,Education Loan,1277192,36,9.12,40685,Good,1,0.68,50,28,8,2046461,1388221,0.4,1,0,0,0,0,191,7,863642,0,171,90,1,,,0,,2021-09-02,2021Q3,,27,0,train
58,LOAN00058,44,2329227,11,Single,Graduate,14,657587,Auto Loan,283132,48,13.3,7637,Poor,4,0.16,50,11,8,629242,1285011,0.3,0,0,0,0,0,159,7,702042,4,27,60,4,358329.0,0.7901,1,2022-03-14,2020-03-18,2020Q1,24.0,45,1,train
446,LOAN00446,30,595807,3,Married,High School,19,804057,Education Loan,509582,60,10.78,11023,Poor,0,0.01,53,60,11,603896,1729237,0.19,3,0,0,0,0,71,8,792892,2,55,15,0,,,0,,2019-02-28,2019Q1,,58,0,train
